Date,Open,High,Low,Close
2021-06-14,612.22998046875,625.489990234375,609.1799926757812,617.6900024414062
2021-06-15,616.6900024414062,616.7899780273438,598.22998046875,599.3599853515625
2021-06-16,597.5399780273438,608.5,593.5,604.8699951171875
2021-06-17,601.8900146484375,621.469970703125,601.3400268554688,616.5999755859375
2021-06-18,613.3699951171875,628.3499755859375,611.7999877929688,623.3099975585938
2021-06-21,624.47998046875,631.3900146484375,608.8800048828125,620.8300170898438
2021-06-22,618.25,628.5700073242188,615.5,623.7100219726562
2021-06-23,632.0,657.2000122070312,630.0399780273438,656.5700073242188
2021-06-24,674.989990234375,697.6199951171875,667.6099853515625,679.8200073242188
2021-06-25,689.5800170898438,693.8099975585938,668.7000122070312,671.8699951171875
2021-06-28,671.6400146484375,694.7000122070312,670.3200073242188,688.719970703125
2021-06-29,684.6500244140625,687.510009765625,675.8900146484375,680.760009765625
2021-06-30,679.77001953125,692.8099975585938,678.1400146484375,679.7000122070312
2021-07-01,683.9199829101562,687.989990234375,672.7999877929688,677.9199829101562
2021-07-02,678.97998046875,700.0,673.260009765625,678.9000244140625
2021-07-06,681.7100219726562,684.0,651.4000244140625,659.5800170898438
2021-07-07,664.27001953125,665.7000122070312,638.3200073242188,644.6500244140625
2021-07-08,628.3699951171875,654.4299926757812,620.4600219726562,652.8099975585938
2021-07-09,653.1799926757812,658.9099731445312,644.6900024414062,656.9500122070312
2021-07-12,662.2000122070312,687.239990234375,662.1599731445312,685.7000122070312
2021-07-13,686.3200073242188,693.280029296875,666.2999877929688,668.5399780273438
2021-07-14,670.75,678.6099853515625,652.8400268554688,653.3800048828125
2021-07-15,658.3900146484375,666.1400146484375,637.8800048828125,650.5999755859375
2021-07-16,654.6799926757812,656.7000122070312,642.2000122070312,644.219970703125
2021-07-19,629.8900146484375,647.2000122070312,621.2899780273438,646.219970703125
2021-07-20,651.989990234375,662.3900146484375,640.5,660.5
2021-07-21,659.6099853515625,664.8599853515625,650.2899780273438,655.2899780273438
2021-07-22,656.4400024414062,662.1699829101562,644.5999755859375,649.260009765625
2021-07-23,646.3599853515625,648.7999877929688,637.2999877929688,643.3800048828125
2021-07-26,650.969970703125,668.2000122070312,647.1099853515625,657.6199951171875
2021-07-27,663.4000244140625,666.5,627.239990234375,644.780029296875
2021-07-28,647.0,654.969970703125,639.4000244140625,646.97998046875
2021-07-29,649.7899780273438,683.6900024414062,648.7999877929688,677.3499755859375
2021-07-30,671.760009765625,697.530029296875,669.0,687.2000122070312
2021-08-02,700.0,726.9400024414062,698.4000244140625,709.6699829101562
2021-08-03,719.0,722.6500244140625,701.010009765625,709.739990234375
2021-08-04,711.0,724.9000244140625,708.9299926757812,710.9199829101562
2021-08-05,716.0,720.9500122070312,711.4099731445312,714.6300048828125
2021-08-06,711.9000244140625,716.3300170898438,697.6300048828125,699.0999755859375
2021-08-09,710.1699829101562,719.030029296875,705.1300048828125,713.760009765625
2021-08-10,713.989990234375,716.5900268554688,701.8800048828125,709.989990234375
2021-08-11,712.7100219726562,715.1799926757812,704.2100219726562,707.8200073242188
2021-08-12,706.3400268554688,722.7999877929688,699.4000244140625,722.25
2021-08-13,723.7100219726562,729.9000244140625,714.3400268554688,717.1699829101562
2021-08-16,705.0700073242188,709.5,676.4000244140625,686.1699829101562
2021-08-17,672.6599731445312,674.5800170898438,648.8400268554688,665.7100219726562
2021-08-18,669.75,695.77001953125,669.3499755859375,688.989990234375
2021-08-19,678.2100219726562,686.5499877929688,667.5900268554688,673.469970703125
2021-08-20,682.8499755859375,692.1300048828125,673.7000122070312,680.260009765625
2021-08-23,685.4400024414062,712.1300048828125,680.75,706.2999877929688
2021-08-24,710.6799926757812,715.219970703125,702.6400146484375,708.489990234375
2021-08-25,707.030029296875,716.969970703125,704.0,711.2000122070312
2021-08-26,708.3099975585938,715.4000244140625,697.6199951171875,701.1599731445312
2021-08-27,705.0,715.0,702.0999755859375,711.9199829101562
2021-08-30,714.719970703125,731.0,712.72998046875,730.9099731445312
2021-08-31,733.0,740.3900146484375,726.4400024414062,735.719970703125
2021-09-01,734.0800170898438,741.989990234375,731.27001953125,734.0900268554688
2021-09-02,734.5,740.969970703125,730.5399780273438,732.3900146484375
2021-09-03,732.25,734.0,724.2000122070312,733.5700073242188
2021-09-07,740.0,760.2000122070312,739.260009765625,752.9199829101562
